new_ID,EWRB_ID,data_year,Postal_Code,Table Names,City,PrimaryPropertyType,PropertyType_selected,LargestPropertyType,Weather-normalized Site Electricity Intensity (GJ/m2),Weather-normalized Site Electricity Intensity (kWh/ft2),Weather-normalized Site Natural Gas Intensity (GJ/m2),Weather-normalized Site Natural Gas Intensity (m3/m2),Weather-normalized Site Natural Gas Intensity (m3/ft2),All Water Use Intensity (m3/m2),All Water Use Intensity (m3/ft2),Indoor Water Use Intensity (m3/m2),Indoor Water Use Intensity (m3/ft2),Site Energy Use Intensity (GJ/m2),Site Energy Use Intensity (ekWh/ft2),Source Energy Use Intensity (GJ/m2),Source Energy Use Intensity (ekWh/ft2),Weather-normalized Site Energy Use Intensity (GJ/m2),Weather-normalized Site Energy Use Intensity (ekWh/ft2),Weather-normalized Source Energy Use Intensity (GJ/m2),Weather-normalized Source Energy Use Intensity (ekWh/ft2),GHG Emissions Intensity (kgCO2e/m2),GHG Emissions Intensity (kgCO2e/ft2),Energy_Star_Score,Data_Quality_Check,Data_Quality_Date,Third_Party_Cert,ENERGY STAR Certification - Year(s) Certified
119421_2018,119421,2018,N5V,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,London,Strip Mall,Strip Mall,Strip Mall,0.235214928,6.07,0.454154688,12.175728901,1.127465127,0.421722968,0.039193584,0.42,0.04,1.258225488,32.47,2.045246112,52.78,1.2640380479999997,32.619999999999997,2.0398210560000001,52.640000000000001,31.2156,2.9,,Yes,2019-05-01,Not Available,Not Available
107104_2018,107104,2018,M2N,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.136401408,3.52,0.340616016,9.131796676,0.845598846,0.400942416,0.037262306,,,0.83119608,21.45,1.283413248,33.12,0.83468361599999985,21.539999999999999,1.286900784,33.210000000000001,23.6808,2.2,79,Yes,2019-05-03,Not Available,Not Available
125350_2018,125350,2018,M5A,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.128263824,3.31,0.340616016,9.131796676,0.845598846,0.704501461,0.065474113,,,0.756407808,19.52,1.182274704,30.51,0.75873283199999986,19.579999999999998,1.183437216,30.539999999999999,20.4516,1.9,91,Yes,2019-05-07,Not Available,Not Available
105626_2018,105626,2018,M4W,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.174764304,4.51,0.340616016,9.131796676,0.845598846,0.588782308,0.054719545,,,0.96294744,24.85,1.549240992,39.98,0.94938479999999992,24.5,1.5263782559999997,39.390000000000001,24.7572,2.3,64,Yes,2019-05-08,Not Available,Not Available
105122_2018,105122,2018,M5H,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.163526688,4.22,0.454154688,12.175728901,1.127465127,0.693907454,0.064489540,,,1.006347888,25.97,1.546915968,39.92,1.0098354239999998,26.059999999999999,1.5504035039999999,40.009999999999998,27.9864,2.6,64,Yes,2019-05-09,Not Available,Not Available
105258_2018,105258,2018,M5H,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.141826464,3.66,0.454154688,12.175728901,1.127465127,1.097294641,0.101979056,,,0.940472208,24.27,1.409352048,36.37,0.94279723199999976,24.329999999999998,1.4105145599999998,36.399999999999999,27.9864,2.6,73,Yes,2019-05-09,Not Available,Not Available
107309_2018,107309,2018,M2M,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.142988976,3.69,0.56769336,15.219661126,1.409331409,0.559445059,0.051993035,,,1.092373776,28.19,1.577528784,40.71,1.1039988959999998,28.489999999999998,1.5810163199999998,40.799999999999997,34.4448,3.2,83,Yes,2019-05-09,Not Available,2019
125183_2018,125183,2018,M5B,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Other,Other - Mall,Other,0.538243056,13.89,0.794770704,21.307525576,1.973063973,3.892482625,0.361754891,,,2.674552608,69.02,4.469083632,115.33,2.6315396639999995,67.909999999999997,4.4008829279999988,113.56999999999999,61.3548,5.7,,Yes,2019-05-09,Not Available,Not Available
105430_2018,105430,2018,M5G,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.17243928,4.45,0.227077344,6.087864450,0.563732564,0.734653635,0.068276360,,,0.781208064,20.16,1.346963904,34.76,0.77927054399999995,20.109999999999999,1.34463888,34.700000000000003,16.146,1.5,97,Yes,2019-05-10,Not Available,2018
100416_2018,100416,2018,K1P,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Ottawa,Office,Office,Office,0.188714448,4.87,0.340616016,9.131796676,0.845598846,0.534589888,0.049683075,0.53,0.05,0.954034848,24.62,1.577528784,40.71,0.94279723199999976,24.329999999999998,1.565128656,40.390000000000001,22.6044,2.1,70,Yes,2019-05-14,LEED,Not Available
100446_2018,100446,2018,K1P,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Ottawa,Office,Office,Office,0.15887664,4.1,0.113538672,3.043932225,0.281866282,0.319042593,0.029650799,0.32,0.03,0.72463248,18.7,1.252800432,32.33,0.71416987199999982,18.43,1.2380752799999999,31.949999999999999,15.0696,1.4,89,Yes,2019-05-14,BOMA Gold,Not Available
100449_2018,100449,2018,K2P,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Ottawa,Office,Office,Office,0.15887664,4.1,0.340616016,9.131796676,0.845598846,0.392793180,0.036504942,0.24,0.02,0.867621456,22.39,1.39695192,36.05,0.85289630399999994,22.010000000000002,1.3752516960000001,35.490000000000002,21.528,2,82,Yes,2019-05-14,BOMA Silver,Not Available
105311_2018,105311,2018,M5E,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.21118968,5.45,0.340616016,9.131796676,0.845598846,1.005208273,0.093420843,1.01,0.09,1.072223568,27.67,1.768180752,45.63,1.0617609599999998,27.399999999999999,1.7569431360000001,45.340000000000003,25.8336,2.4,58,Yes,2019-05-14,"LEED, BOMA Gold",Not Available
105334_2018,105334,2018,M5C,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.232889904,6.01,0.340616016,9.131796676,0.845598846,2.083759672,0.193657962,2.08,0.19,1.131124176,29.19,1.896444576,48.94,1.1152365120000001,28.780000000000001,1.8797819039999997,48.509999999999998,25.8336,2.4,53,Yes,2019-05-14,"LEED, BOMA Silver",Not Available
105338_2018,105338,2018,M5C,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.187551936,4.84,0,0,0,0.798625138,0.074221667,0.8,0.07,0.758732832,19.58,1.411677072,36.43,0.75408278400000006,19.460000000000001,1.4047019999999999,36.25,17.2224,1.6,79,Yes,2019-05-14,BOMA Platinum,Not Available
105366_2018,105366,2018,M5G,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.102301056,2.64,0,0,0,0.369567857,0.034346455,0.37,0.03,0.597531168,15.42,1.014097968,26.17,0.58823107199999991,15.18,1.0016978400000001,25.850000000000001,24.7572,2.3,86,Yes,2019-05-14,BOMA Gold,Not Available
105368_2018,105368,2018,M5V,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.152289072,3.93,0.227077344,6.087864450,0.563732564,0.532960041,0.049531602,0.53,0.05,0.739357632,19.08,1.2400128,32,0.72695750399999992,18.760000000000002,1.2276126719999998,31.68,16.146,1.5,75,Yes,2019-05-14,"LEED, BOMA Gold",Not Available
105369_2018,105369,2018,M5T,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.140663952,3.63,0,0,0,0.966091940,0.089785496,0.97,0.09,1.190412288,30.72,1.893344544,48.86,1.1539869119999999,29.780000000000001,1.831731408,47.270000000000003,63.5076,5.9,31,Yes,2019-05-14,BOMA Gold,Not Available
107100_2018,107100,2018,M2N,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.221652288,5.72,0.340616016,9.131796676,0.845598846,0.697167149,0.064792486,0.7,0.06,1.076486112,27.78,1.80576864,46.6,1.0733860799999999,27.699999999999999,1.802281104,46.509999999999998,24.7572,2.3,80,Yes,2019-05-14,"LEED, BOMA Gold",Not Available
